n	L	confounding	method	beta_hat
1000	5	True	OLS	0.8174757205648118
1000	5	True	2SLS	0.2939773504851071
1000	5	True	2SLS-LASSO	0.36453749853012
1000	5	False	OLS	0.8145861664144374
1000	5	False	2SLS	0.3183007441116607
1000	5	False	2SLS-LASSO	0.37050747631162845
1000	10	True	OLS	0.8595841127206568
1000	10	True	2SLS	0.7041007933376147
1000	10	True	2SLS-LASSO	1.1766630158150169
1000	10	False	OLS	0.8515002739616945
1000	10	False	2SLS	0.6559478766395306
1000	10	False	2SLS-LASSO	1.0820075030746394
1000	15	True	OLS	0.8373991943014506
1000	15	True	2SLS	0.41482547734697994
1000	15	True	2SLS-LASSO	0.4452202355633594
1000	15	False	OLS	0.8151688304127054
1000	15	False	2SLS	0.45584337156303156
1000	15	False	2SLS-LASSO	0.49101652237911997
1000	30	True	OLS	0.8554196759411055
1000	30	True	2SLS	0.5127761742258614
1000	30	True	2SLS-LASSO	0.686928415725977
1000	30	False	OLS	0.8381011030070187
1000	30	False	2SLS	0.453806257790704
1000	30	False	2SLS-LASSO	0.618726889801019
1000	50	True	OLS	0.7668507046613398
1000	50	True	2SLS	0.5754538942159715
1000	50	True	2SLS-LASSO	0.9648293496081892
1000	50	False	OLS	0.7657983906472545
1000	50	False	2SLS	0.5920400893280864
1000	50	False	2SLS-LASSO	0.9712653981783601
3000	5	True	OLS	0.8002567122399498
3000	5	True	2SLS	0.6290023464081764
3000	5	True	2SLS-LASSO	0.6385505876153845
3000	5	False	OLS	0.789373560970709
3000	5	False	2SLS	0.6491091183697277
3000	5	False	2SLS-LASSO	0.6578205456266
3000	10	True	OLS	0.798572101651768
3000	10	True	2SLS	0.581291912269368
3000	10	True	2SLS-LASSO	0.8472051402058407
3000	10	False	OLS	0.789388418729094
3000	10	False	2SLS	0.6176315037551481
3000	10	False	2SLS-LASSO	0.9082926343853153
3000	15	True	OLS	0.7656733257131612
3000	15	True	2SLS	0.3703091756427319
3000	15	True	2SLS-LASSO	0.42428429576211163
3000	15	False	OLS	0.7520263731481219
3000	15	False	2SLS	0.35796613134633026
3000	15	False	2SLS-LASSO	0.3971506634301927
3000	30	True	OLS	0.8000463482180737
3000	30	True	2SLS	0.3581833552341588
3000	30	True	2SLS-LASSO	0.4148654428611788
3000	30	False	OLS	0.7956156943908067
3000	30	False	2SLS	0.36148541610543267
3000	30	False	2SLS-LASSO	0.41938059205000805
3000	50	True	OLS	0.7983041190312848
3000	50	True	2SLS	0.41212973043809215
3000	50	True	2SLS-LASSO	0.4486387130265928
3000	50	False	OLS	0.7802923626094146
3000	50	False	2SLS	0.39740615465728785
3000	50	False	2SLS-LASSO	0.4317925948393754
5000	5	True	OLS	0.7855642476508418
5000	5	True	2SLS	0.367861418305272
5000	5	True	2SLS-LASSO	0.3684418366526271
5000	5	False	OLS	0.7814208366585225
5000	5	False	2SLS	0.36607250886842563
5000	5	False	2SLS-LASSO	0.36667117072314426
5000	10	True	OLS	0.7924925776423286
5000	10	True	2SLS	0.3073170361509527
5000	10	True	2SLS-LASSO	0.3186624353503328
5000	10	False	OLS	0.7802421409330215
5000	10	False	2SLS	0.31121153909049204
5000	10	False	2SLS-LASSO	0.3227377240788538
5000	15	True	OLS	0.7781227231264958
5000	15	True	2SLS	0.3233591396238276
5000	15	True	2SLS-LASSO	0.34581817375213886
5000	15	False	OLS	0.7711097407278474
5000	15	False	2SLS	0.3267601628237401
5000	15	False	2SLS-LASSO	0.35174069671095853
5000	30	True	OLS	0.7814711342035949
5000	30	True	2SLS	0.23027552476931734
5000	30	True	2SLS-LASSO	0.2398319732046913
5000	30	False	OLS	0.7689835886618075
5000	30	False	2SLS	0.24672436733923875
5000	30	False	2SLS-LASSO	0.2559000422215528
5000	50	True	OLS	0.7769547109317647
5000	50	True	2SLS	0.4238586471139423
5000	50	True	2SLS-LASSO	0.49196802870191036
5000	50	False	OLS	0.7710630762857451
5000	50	False	2SLS	0.41727612813676473
5000	50	False	2SLS-LASSO	0.482482722973297
10000	5	True	OLS	0.8096427697761215
10000	5	True	2SLS	0.252701343794022
10000	5	True	2SLS-LASSO	0.2820919050912841
10000	5	False	OLS	0.8024428989926653
10000	5	False	2SLS	0.26266752933746845
10000	5	False	2SLS-LASSO	0.2950433134712783
10000	10	True	OLS	0.8023612894003495
10000	10	True	2SLS	0.3409037438537921
10000	10	True	2SLS-LASSO	0.3491683245624344
10000	10	False	OLS	0.7922382531170029
10000	10	False	2SLS	0.3496944474316026
10000	10	False	2SLS-LASSO	0.35860469422936364
10000	15	True	OLS	0.8011216916378344
10000	15	True	2SLS	0.36042451458710195
10000	15	True	2SLS-LASSO	0.39908885852539977
10000	15	False	OLS	0.791725292526853
10000	15	False	2SLS	0.3651493897266782
10000	15	False	2SLS-LASSO	0.4160079978210881
10000	30	True	OLS	0.7983804251476743
10000	30	True	2SLS	0.38193772098771894
10000	30	True	2SLS-LASSO	0.39990718049545915
10000	30	False	OLS	0.7881643440238248
10000	30	False	2SLS	0.39502124838649866
10000	30	False	2SLS-LASSO	0.4153683952763596
10000	50	True	OLS	0.7765038919229683
10000	50	True	2SLS	0.29920190628129517
10000	50	True	2SLS-LASSO	0.3165519706387484
10000	50	False	OLS	0.7663625221343001
10000	50	False	2SLS	0.3050641236791487
10000	50	False	2SLS-LASSO	0.32241492910452463
20000	5	True	OLS	0.8002563539834693
20000	5	True	2SLS	0.42137585692527724
20000	5	True	2SLS-LASSO	0.421952533750216
20000	5	False	OLS	0.7914566951760229
20000	5	False	2SLS	0.4212476881136165
20000	5	False	2SLS-LASSO	0.4218023174803821
20000	10	True	OLS	0.8054684906697498
20000	10	True	2SLS	0.34854862364386696
20000	10	True	2SLS-LASSO	0.35770365474977783
20000	10	False	OLS	0.7964583505803158
20000	10	False	2SLS	0.3460745873054393
20000	10	False	2SLS-LASSO	0.35723971570339996
20000	15	True	OLS	0.8079013192121771
20000	15	True	2SLS	0.33965869152797445
20000	15	True	2SLS-LASSO	0.3431461730948019
20000	15	False	OLS	0.7983417155708561
20000	15	False	2SLS	0.3483665766094082
20000	15	False	2SLS-LASSO	0.3573756022590774
20000	30	True	OLS	0.7792836703725002
20000	30	True	2SLS	0.3505958678853846
20000	30	True	2SLS-LASSO	0.3579929814252735
20000	30	False	OLS	0.7713098955523204
20000	30	False	2SLS	0.33983219567555517
20000	30	False	2SLS-LASSO	0.3448812326230135
20000	50	True	OLS	0.7726044955022374
20000	50	True	2SLS	0.32930502034273745
20000	50	True	2SLS-LASSO	0.3334900376058275
20000	50	False	OLS	0.7626764501844281
20000	50	False	2SLS	0.3272275386428498
20000	50	False	2SLS-LASSO	0.3308727764908318
